SA,Q
"((-2, 0, 50), 0)",0.0
"((-2, 0, 50), 1)",0.0
"((-2, 0, 80), 0)",0.0
"((-2, 0, 80), 1)",0.0
"((-2, 0, 110), 0)",0.0
"((-2, 0, 110), 1)",0.0
"((-2, 0, 140), 0)",0.0
"((-2, 0, 140), 1)",0.0
"((-2, 0, 170), 0)",0.0
"((-2, 0, 170), 1)",0.0
"((-2, 0, 200), 0)",0.0
"((-2, 0, 200), 1)",0.0
"((-2, 0, 230), 0)",0.0
"((-2, 0, 230), 1)",0.0
"((-2, 0, 260), 0)",0.0
"((-2, 0, 260), 1)",0.0
"((-2, 0, 290), 0)",0.0
"((-2, 0, 290), 1)",0.0
"((-2, 1, 50), 0)",-57.706375480044656
"((-2, 1, 50), 1)",-37.15084528697615
"((-2, 1, 80), 0)",0.0
"((-2, 1, 80), 1)",0.0
"((-2, 1, 110), 0)",0.0
"((-2, 1, 110), 1)",0.0
"((-2, 1, 140), 0)",0.0
"((-2, 1, 140), 1)",0.0
"((-2, 1, 170), 0)",0.0
"((-2, 1, 170), 1)",0.0
"((-2, 1, 200), 0)",0.0
"((-2, 1, 200), 1)",0.0
"((-2, 1, 230), 0)",0.0
"((-2, 1, 230), 1)",0.0
"((-2, 1, 260), 0)",0.0
"((-2, 1, 260), 1)",0.0
"((-2, 1, 290), 0)",0.0
"((-2, 1, 290), 1)",0.0
"((-2, 2, 50), 0)",19.056636142088667
"((-2, 2, 50), 1)",-4.933592817105277
"((-2, 2, 80), 0)",0.0
"((-2, 2, 80), 1)",0.0
"((-2, 2, 110), 0)",0.0
"((-2, 2, 110), 1)",0.0
"((-2, 2, 140), 0)",0.0
"((-2, 2, 140), 1)",0.0
"((-2, 2, 170), 0)",0.0
"((-2, 2, 170), 1)",0.0
"((-2, 2, 200), 0)",0.0
"((-2, 2, 200), 1)",0.0
"((-2, 2, 230), 0)",0.0
"((-2, 2, 230), 1)",0.0
"((-2, 2, 260), 0)",0.0
"((-2, 2, 260), 1)",0.0
"((-2, 2, 290), 0)",0.0
"((-2, 2, 290), 1)",0.0
"((-2, 3, 50), 0)",3.3563328532356658
"((-2, 3, 50), 1)",0.0
"((-2, 3, 80), 0)",0.0
"((-2, 3, 80), 1)",0.0
"((-2, 3, 110), 0)",0.0
"((-2, 3, 110), 1)",0.0
"((-2, 3, 140), 0)",0.0
"((-2, 3, 140), 1)",0.0
"((-2, 3, 170), 0)",0.0
"((-2, 3, 170), 1)",0.0
"((-2, 3, 200), 0)",0.0
"((-2, 3, 200), 1)",0.0
"((-2, 3, 230), 0)",0.0
"((-2, 3, 230), 1)",0.0
"((-2, 3, 260), 0)",0.0
"((-2, 3, 260), 1)",0.0
"((-2, 3, 290), 0)",0.0
"((-2, 3, 290), 1)",0.0
"((-2, 4, 50), 0)",0.0
"((-2, 4, 50), 1)",0.0
"((-2, 4, 80), 0)",0.0
"((-2, 4, 80), 1)",0.0
"((-2, 4, 110), 0)",0.0
"((-2, 4, 110), 1)",0.0
"((-2, 4, 140), 0)",0.0
"((-2, 4, 140), 1)",0.0
"((-2, 4, 170), 0)",0.0
"((-2, 4, 170), 1)",0.0
"((-2, 4, 200), 0)",0.0
"((-2, 4, 200), 1)",0.0
"((-2, 4, 230), 0)",0.0
"((-2, 4, 230), 1)",0.0
"((-2, 4, 260), 0)",0.0
"((-2, 4, 260), 1)",0.0
"((-2, 4, 290), 0)",0.0
"((-2, 4, 290), 1)",0.0
"((-1, 0, 50), 0)",0.0
"((-1, 0, 50), 1)",0.0
"((-1, 0, 80), 0)",0.0
"((-1, 0, 80), 1)",0.0
"((-1, 0, 110), 0)",0.0
"((-1, 0, 110), 1)",0.0
"((-1, 0, 140), 0)",0.0
"((-1, 0, 140), 1)",0.0
"((-1, 0, 170), 0)",0.0
"((-1, 0, 170), 1)",0.0
"((-1, 0, 200), 0)",0.0
"((-1, 0, 200), 1)",0.0
"((-1, 0, 230), 0)",0.0
"((-1, 0, 230), 1)",0.0
"((-1, 0, 260), 0)",0.0
"((-1, 0, 260), 1)",0.0
"((-1, 0, 290), 0)",0.0
"((-1, 0, 290), 1)",0.0
"((-1, 1, 50), 0)",14.962882650271947
"((-1, 1, 50), 1)",-10.922591364038269
"((-1, 1, 80), 0)",0.0
"((-1, 1, 80), 1)",0.0
"((-1, 1, 110), 0)",0.0
"((-1, 1, 110), 1)",0.0
"((-1, 1, 140), 0)",0.0
"((-1, 1, 140), 1)",0.0
"((-1, 1, 170), 0)",0.0
"((-1, 1, 170), 1)",0.0
"((-1, 1, 200), 0)",0.0
"((-1, 1, 200), 1)",0.0
"((-1, 1, 230), 0)",0.0
"((-1, 1, 230), 1)",0.0
"((-1, 1, 260), 0)",0.0
"((-1, 1, 260), 1)",0.0
"((-1, 1, 290), 0)",0.0
"((-1, 1, 290), 1)",0.0
"((-1, 2, 50), 0)",17.739302987364734
"((-1, 2, 50), 1)",0.4501704691422707
"((-1, 2, 80), 0)",0.0
"((-1, 2, 80), 1)",0.0
